company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Maxar Technologies,15716425,US11024044,TECHNIQUES FOR IMAGE CO-REGISTRATION,,grant,granted,"DigitalGlobe, Inc.",US,2017-09-26,2017,2021-06-01,2021,G06T7/32|G06T7/207|G06T7/35|G06T2207/10036,Computing / Software,1,,1,2017-09-26,2021-06-01,,GRZEGORZ MIECZNIK,0,0
Maxar Technologies,15709252,US10157479,SYNTHESIZING TRAINING DATA FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2017-09-19,2017,2018-12-18,2018,G06V10/774|G06T7/73|G06T7/75|G06T7/90|G06V20/176|G06N3/09|G06F18/24|G06F18/214,Computing / Software,6,,1,2017-09-19,2018-12-18,,Adam Estrada; Christopher Burd; Andrew Jenkins; Joseph Newbrough; Scott Szoko; Melanie Vinton,0,0
Maxar Technologies,15694353,US10515272,MUDDY WATER DETECTION USING NORMALIZED SEMANTIC LAYERS,,grant,granted,"DigitalGlobe, Inc.",US,2017-09-01,2017,2019-12-24,2019,G06T7/0004|G06T7/12|G06T7/11|G06T7/90|G06F16/5854|G06V10/30|G06V20/176|G06V20/13,Computing / Software,2,,1,2017-09-01,2019-12-24,,Georgios Ouzounis; Kostas Stamatiou,0,0
Maxar Technologies,15672267,US10318808,SOME AUTOMATED AND SEMI-AUTOMATED TOOLS FOR LINEAR FEATURE EXTRACTION IN TWO AND THREE DIMENSIONS,,grant,granted,"DigitalGlobe, Inc.",US,2017-08-08,2017,2019-06-11,2019,G06V10/44|G06V10/469|G06V20/182|G06V20/13|G06V10/945|G06F18/40|G06T17/05,Computing / Software,3,,1,2017-08-08,2019-06-11,,Jacek Grodecki; Seth Malitz; Josh Nolting,0,0
Maxar Technologies,15608894,US9904849,SYSTEM FOR SIMPLIFIED GENERATION OF SYSTEMS FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2017-05-30,2017,2018-02-27,2018,G06N3/08|G06T7/10|G06T7/73|G06N20/20|G06V10/50|G06V20/176|G06V10/774|G06V10/776,Computing / Software,3,,1,2017-05-30,2018-02-27,,Adam Estrada; Kevin Green; Andrew Jenkins,0,0
Maxar Technologies,15490866,US9922252,AUTOMATED CONVERSION OF TWO-DIMENSIONAL HYDROLOGY VECTOR MODELS INTO VALID THREE-DIMENSIONAL HYDROLOGY VECTOR MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2017-04-18,2017,2018-03-20,2018,G06T17/05,Computing / Software,2,,1,2017-04-18,2018-03-20,,Jacek Grodecki; Seth Malitz,0,0
Maxar Technologies,15488918,US10152802,METHOD AND APPARATUS FOR IMAGING THE SILHOUETTE OF AN OBJECT OCCLUDING A LIGHT SOURCE USING A SYNTHETIC APERATURE,,grant,granted,MDA Information Systems LLC,US,2017-04-17,2017,2018-12-11,2018,G06T7/579|G06T7/262|G06T7/248|G06T5/73|G01J1/44|G01J2003/2826|G02B23/12|G06T5/10,Computing / Software,1,,1,2017-04-17,2018-12-11,,Richard G. Paxman,0,0
Maxar Technologies,15465581,US10121074,SYSTEM AND METHODS FOR SEMI-AUTOMATED EDITING OF ORTHO-MOSAICS BUILT FROM REMOTELY-SENSED IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2017-03-21,2017,2018-11-06,2018,G01C21/3676|G06V20/182|G01C11/02|G01C21/3602|G01C21/3614|G06T3/4038|G06T17/05,Computing / Software,3,,1,2017-03-21,2018-11-06,,Matthew Tang; John Thiel; David Neckels,0,0
Maxar Technologies,15452076,US10013774,BROAD AREA GEOSPATIAL OBJECT DETECTION USING AUTOGENERATED DEEP LEARNING MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2017-03-07,2017,2018-07-03,2018,G06T7/74|G06T7/344|G06T7/33|G06V10/454|G06V10/82|G06V10/764|G06V20/13|G06F18/24137,Computing / Software,4,,1,2017-03-07,2018-07-03,,Adam Estrada; Andrew Jenkins; Benjamin Brock; Chris Mangold,0,0
Maxar Technologies,15445949,US10311557,AUTOMATED TONAL BALANCING,,grant,granted,"DigitalGlobe, Inc.",US,2017-02-28,2017,2019-06-04,2019,G06T5/92|G06T5/73|G06T5/94|G06T5/70|G06T3/4038|G06T2200/32|G06T2207/10024|G06T2207/10032,Computing / Software,3,,1,2017-02-28,2019-06-04,,Nathan Reid Swanson; Patrick Young; Spencer Stirling,0,0
Maxar Technologies,15391786,US10482122,SYSTEM AND METHOD FOR MULTIRESOLUTION AND MULTITEMPORAL IMAGE SEARCH,,grant,granted,"DigitalGlobe, Inc.",US,2016-12-27,2016,2019-11-19,2019,G06F16/5854|G06T7/11|G06F16/5838|G06F16/583|G06F16/51|G06F16/5862|G06F16/9535|G06F16/56,Computing / Software,1,,1,2016-12-27,2019-11-19,,Carsten Tusk,0,0
Maxar Technologies,15362254,US10083354,ADVANCED CLOUD DETECTION USING MACHINE LEARNING AND OPTIMIZATION TECHNIQUES,,grant,granted,"DigitalGlobe, Inc.",US,2016-11-28,2016,2018-09-25,2018,G06T7/162|G06T7/11|G06V10/7715|G06V10/84|G06V10/7635|G06V20/13|G06F18/29|G06F18/2323,Computing / Software,1,,1,2016-11-28,2018-09-25,,MICHAEL ASCHENBECK,0,0
Maxar Technologies,15341338,US10346446,SYSTEM AND METHOD FOR AGGREGATING MULTI-SOURCE DATA AND IDENTIFYING GEOGRAPHIC AREAS FOR DATA ACQUISITION,,grant,granted,MDA Information Systems LLC,US,2016-11-02,2016,2019-07-09,2019,G06F16/29|G06F16/245|H04L51/222|H04L51/52|B64G1/1021|H04W4/12,Computing / Software,1,,1,2016-11-02,2019-07-09,,Alfred W. League,0,0
Maxar Technologies,15262118,US10346495,SYSTEM AND METHOD FOR LARGE SCALE CROWDSOURCING OF MAP DATA CLEANUP AND CORRECTION,,grant,granted,"DigitalGlobe, Inc.",US,2016-09-12,2016,2019-07-09,2019,G06F16/9537|G06F16/5866|G06F16/29|G06Q30/018|G06Q50/01,Computing / Software,3,,1,2016-09-12,2019-07-09,,Shay Har-Noy; Luke Barrington; Nathan Ricklin,0,0
